pl_name,st_spectype,sy_umagstr,sy_gmagstr,sy_rmagstr,sy_imagstr,sy_zmagstr
"TRAPPIST-1 d",,"23.305600&plusmn;0.803622","19.6235000&plusmn;0.0155229","17.996300&plusmn;0.007352","15.092300&plusmn;0.004339","13.4342000&plusmn;0.0040633"
"TRAPPIST-1 e",,"23.305600&plusmn;0.803622","19.6235000&plusmn;0.0155229","17.996300&plusmn;0.007352","15.092300&plusmn;0.004339","13.4342000&plusmn;0.0040633"
"TRAPPIST-1 f",,"23.305600&plusmn;0.803622","19.6235000&plusmn;0.0155229","17.996300&plusmn;0.007352","15.092300&plusmn;0.004339","13.4342000&plusmn;0.0040633"
"TRAPPIST-1 h",,"23.305600&plusmn;0.803622","19.6235000&plusmn;0.0155229","17.996300&plusmn;0.007352","15.092300&plusmn;0.004339","13.4342000&plusmn;0.0040633"
"K2-141 b",,"15.630500&plusmn;0.009537","11.9478000&plusmn;0.0006742","10.7258000&plusmn;0.0005169","10.3734000&plusmn;0.0005276","10.9381000&plusmn;0.0021332"
"TRAPPIST-1 e",,"23.305600&plusmn;0.803622","19.6235000&plusmn;0.0155229","17.996300&plusmn;0.007352","15.092300&plusmn;0.004339","13.4342000&plusmn;0.0040633"
"K2-138 e",,"15.0982000&plusmn;0.0059087","14.8948000&plusmn;0.0109808","12.0650000&plusmn;0.0011704","11.8643000&plusmn;0.0012561","13.0460000&plusmn;0.0068556"
"HIP 116454 b",,,,,,
"Kepler-205 b",,,,,,
"Kepler-61 b",,,,,,
"Kepler-249 c",,,,,,
"HD 11506 c","G0 V",,,,,
"HD 183263 c",,,,,,
"HD 156279 c",,,,,,
"HD 38529 c",,,,,,
"HD 38529 b",,,,,,
"GJ 229 b",,,,,,
"HD 11506 c",,,,,,
"HD 74156 c",,,,,,
"HD 72892 b","G5 V",,,,,
"HD 156279 b",,,,,,
"HD 156279 c",,,,,,
"HD 168443 b",,,,,,
"HD 28185 b",,,,,,
"HD 74156 c",,,,,,
"HD 183263 b",,,,,,
"HD 105618 c",,,,,,
"HD 11343 c",,,,,,
"HIP 8541 b",,,,,,
"HD 11506 b",,,,,,
"HD 125612 c",,,,,,
"HD 111998 b","F5 V",,,,,
"HD 196050 b",,,,,,
"HD 169830 c",,,,,,
"HD 221420 b",,,,,,
"HD 143361 b",,,,,,
"LHS 3154 b","M6.5",,,,,
"HD 216437 b",,,,,,
"TOI-3362 b",,,,,,
"TOI-733 b","G",,,,,
"TOI-2109 b","F",,,,,
"rho CrB b",,,,,,
"rho CrB c",,,,,,
"rho CrB d",,,,,,
"rho CrB e",,,,,,
"OGLE-2014-BLG-0124L b",,,,,,
"OGLE-2014-BLG-0124L b",,,,,,
"Kepler-26 c",,,,,,
"Kepler-32 c",,,,,,
"K2-285 e","K2 V","15.5161000&plusmn;0.0086945","12.752200&plusmn;0.000957","11.8383000&plusmn;0.0007841","11.5786000&plusmn;0.0010646","11.9155000&plusmn;0.0031011"
"HD 63935 c",,,,,,
